Problem,seed,dim,Mean,Variance
1.0,1.0,625.0,625.0,0.0
3.0,1.0,625.0,195619.4,32.03999999999999
14.0,1.0,625.0,43.96666666666667,105.49888888888889
15.0,1.0,625.0,49.6,10.973333333333334
17.0,1.0,625.0,48.2,59.093333333333334
20.0,1.0,625.0,1163.5333333333333,703.382222222222
