Problem,dim,Mean,Variance
1.0,625.0,392.3666666666667,188.69888888888892
2.0,625.0,170.46666666666667,187.78222222222223
3.0,625.0,144376.8,16071427.626666669
4.0,625.0,239.13333333333333,98.9822222222222
5.0,625.0,363.1333333333333,149.11555555555555
6.0,625.0,180.26666666666668,23.995555555555548
7.0,625.0,496.6333333333333,40.432222222222215
8.0,625.0,156.4,28.573333333333334
9.0,625.0,314.06666666666666,181.7288888888889
10.0,625.0,313.0,112.33333333333333
11.0,625.0,170.73333333333332,190.3288888888889
12.0,625.0,170.36666666666667,158.2988888888889
13.0,625.0,5.666666666666667,31.48888888888889
14.0,625.0,4.166666666666667,5.3388888888888895
15.0,625.0,4.466666666666667,5.448888888888888
16.0,625.0,7.0,23.933333333333334
17.0,625.0,6.0,11.0
18.0,625.0,3.74161211260855,0.008744101336386884
19.0,625.0,484.4,108.84
20.0,625.0,871.8,234.22666666666663
21.0,625.0,1305.3333333333333,404.28888888888883
22.0,625.0,-35343.23333333333,154526151.71222222
23.0,625.0,-18969.566666666666,1894391.6455555556
