Problem,dim,Mean,Variance
1.0,100.0,100.0,0.0
2.0,100.0,100.0,0.0
3.0,100.0,5050.0,0.0
4.0,100.0,50.0,0.0
5.0,100.0,90.0,0.0
6.0,100.0,28.933333333333334,3.8622222222222224
7.0,100.0,82.8,4.893333333333333
8.0,100.0,26.433333333333334,7.645555555555556
9.0,100.0,53.4,24.906666666666663
10.0,100.0,54.333333333333336,34.888888888888886
11.0,100.0,50.0,0.0
12.0,100.0,90.0,0.0
13.0,100.0,6.933333333333334,50.72888888888888
14.0,100.0,4.633333333333334,15.165555555555557
15.0,100.0,3.3,6.743333333333335
16.0,100.0,7.2,55.29333333333334
17.0,100.0,4.5,3.9166666666666665
18.0,100.0,3.710618381336857,0.1540769036287314
19.0,100.0,82.6,11.240000000000006
20.0,100.0,164.4,38.77333333333333
21.0,100.0,255.2,92.69333333333331
22.0,100.0,44.03333333333333,5.098888888888888
23.0,100.0,8.566666666666666,0.378888888888889
1.0,400.0,344.96666666666664,114.83222222222224
2.0,400.0,273.56666666666666,287.6455555555556
3.0,400.0,77698.2,448794.49333333335
4.0,400.0,200.0,0.0
5.0,400.0,312.5,88.38333333333334
6.0,400.0,116.6,21.106666666666666
7.0,400.0,331.76666666666665,23.64555555555556
8.0,400.0,102.83333333333331,25.072222222222223
9.0,400.0,201.8,89.49333333333334
10.0,400.0,204.83333333333331,138.47222222222223
11.0,400.0,200.0,0.0
12.0,400.0,281.8333333333333,340.13888888888886
13.0,400.0,5.9,39.35666666666667
14.0,400.0,4.866666666666666,13.18222222222222
15.0,400.0,3.8666666666666663,7.848888888888888
16.0,400.0,5.133333333333334,19.98222222222222
17.0,400.0,4.833333333333333,3.472222222222222
18.0,400.0,3.868805140338712,0.0341509455277801
19.0,400.0,331.2,50.29333333333336
20.0,400.0,660.0,257.8666666666667
21.0,400.0,1016.9333333333332,358.3288888888888
22.0,400.0,175.9,16.423333333333332
23.0,400.0,-2582.7,649493.0766666667
1.0,625.0,398.1,145.95666666666665
2.0,625.0,166.16666666666666,138.67222222222225
3.0,625.0,141253.13333333333,15820030.448888889
4.0,625.0,241.83333333333331,68.93888888888888
5.0,625.0,362.8666666666667,137.4488888888889
6.0,625.0,183.16666666666663,23.138888888888893
7.0,625.0,495.1666666666667,46.13888888888889
8.0,625.0,157.83333333333334,60.20555555555556
9.0,625.0,311.46666666666664,150.38222222222217
10.0,625.0,315.6666666666667,188.8888888888889
11.0,625.0,170.73333333333332,124.79555555555557
12.0,625.0,166.43333333333334,150.17888888888885
13.0,625.0,6.633333333333334,30.03222222222222
14.0,625.0,4.266666666666667,13.52888888888889
15.0,625.0,5.3,15.809999999999995
16.0,625.0,7.733333333333333,42.59555555555554
17.0,625.0,5.833333333333333,10.805555555555555
18.0,625.0,3.757763666183412,0.0226090572319743
19.0,625.0,477.6,221.64
20.0,625.0,865.2666666666667,287.0622222222222
21.0,625.0,1303.7333333333331,456.9288888888889
22.0,625.0,-34324.86666666667,129230924.11555554
23.0,625.0,-18829.2,801717.6933333332
1.0,225.0,225.0,0.0
2.0,225.0,225.0,0.0
3.0,225.0,25425.0,0.0
4.0,225.0,112.0,0.0
5.0,225.0,202.0,0.0
6.0,225.0,66.03333333333333,5.898888888888886
7.0,225.0,186.2,8.493333333333332
8.0,225.0,57.4,12.24
9.0,225.0,112.0,77.86666666666666
10.0,225.0,116.0,26.0
11.0,225.0,112.0,0.0
12.0,225.0,202.0,0.0
13.0,225.0,6.266666666666667,56.86222222222222
14.0,225.0,4.633333333333334,9.032222222222224
15.0,225.0,4.733333333333333,9.062222222222221
16.0,225.0,8.4,32.906666666666666
17.0,225.0,4.666666666666667,2.888888888888889
18.0,225.0,3.7197813039242,0.044672215051218545
19.0,225.0,189.86666666666667,21.515555555555544
20.0,225.0,370.53333333333336,189.58222222222219
21.0,225.0,581.3333333333334,331.48888888888894
22.0,225.0,98.66666666666667,7.822222222222223
23.0,225.0,12.866666666666667,0.7155555555555554
